is_bug_fix,revisionNo,message
0,1,Initial directory structure. Added : /branches Added : /tags Added : /trunk 
0,2,Created wiki page through web user interface. Added : /wiki Added : /wiki/OpenIntents.wiki 
0,3,Edited wiki page through web user interface. Modified : /wiki/OpenIntents.wiki 
0,4,Created wiki page through web user interface. Added : /wiki/WeShareThePrize.wiki 
0,5,Created wiki page through web user interface. Added : /wiki/Projects.wiki 
0,6,Created wiki page through web user interface. Added : /wiki/Ideas.wiki 
0,7,Edited wiki page through web user interface. Modified : /wiki/OpenIntents.wiki 
0,8,Edited wiki page through web user interface. Modified : /wiki/OpenIntents.wiki 
0,9,Edited wiki page through web user interface. Modified : /wiki/WeShareThePrize.wiki 
0,10,Edited wiki page through web user interface. Modified : /wiki/Projects.wiki 
0,11,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,12,Edited wiki page through web user interface. Modified : /wiki/OpenIntents.wiki 
0,13,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,14,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,15,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,16,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,17,Created wiki page through web user interface. Added : /wiki/ImplementationBasics.wiki 
0,18,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,19,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,20,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,21,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,22,Edited wiki page through web user interface. Modified : /wiki/ImplementationBasics.wiki 
0,23,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,24,Edited wiki page through web user interface. Modified : /wiki/Ideas.wiki 
0,25,"Added <a title=""We define and implement useful open intents for the Android platform."" href=""/p/openintents/wiki/OpenIntents"">OpenIntents</a> logo. Added : /images Added : /images/logo Added : /images/logo/OpenIntents_Kugel04c_200px.gif Added : /images/logo/OpenIntents_Kugel04d_100px.gif "
0,26,Created wiki page through web user interface. Added : /wiki/IdeaFavoriteLocations.wiki 
