is_bug_fix,revisionNo,message
0,1,Initial directory structure. Added : /branches Added : /tags Added : /trunk 
0,2,[No log message] Added : /trunk/build.xml Added : /trunk/src Added : /trunk/src/com Added : /trunk/src/com/google Added : /trunk/src/com/google/zxing Added : /trunk/src/com/google/zxing/BarcodeFormat.java Added : /trunk/src/com/google/zxing/DecodeHintType.java Added : /trunk/src/com/google/zxing/MonochromeBitmapSource.java Added : /trunk/src/com/google/zxing/Reader.java Added : /trunk/src/com/google/zxing/ReaderException.java Added : /trunk/src/com/google/zxing/Result.java Added : /trunk/src/com/google/zxing/ResultPoint.java Added : /trunk/src/com/google/zxing/client Added : /trunk/src/com/google/zxing/common Added : /trunk/src/com/google/zxing/common/BitArray.java Added : /trunk/src/com/google/zxing/common/BlackPointEstimator.java Added : /trunk/src/com/google/zxing/common/Collections.java Added : /trunk/src/com/google/zxing/common/Comparator.java Added : /trunk/src/com/google/zxing/common/reedsolomon Added : /trunk/src/com/google/zxing/common/reedsolomon/GF256.java Added : /trunk/src/com/google/zxing/common/reedsolomon/GF256Poly.java Added : /trunk/src/com/google/zxing/common/reedsolomon/ReedSolomonException.java Added : /trunk/src/com/google/zxing/qrcode Added : /trunk/src/com/google/zxing/qrcode/QRCodeReader.java Added : /trunk/src/com/google/zxing/qrcode/decoder Added : /trunk/src/com/google/zxing/qrcode/decoder/BitMatrixParser.java Added : /trunk/src/com/google/zxing/qrcode/decoder/BitSource.java Added : /trunk/src/com/google/zxing/qrcode/decoder/DataBlock.java Added : /trunk/src/com/google/zxing/qrcode/decoder/DataMask.java Added : /trunk/src/com/google/zxing/qrcode/decoder/DecodedBitStreamParser.java Added : /trunk/src/com/google/zxing/qrcode/decoder/FormatInformation.java Added : /trunk/src/com/google/zxing/qrcode/decoder/Mode.java Added : /trunk/src/com/google/zxing/qrcode/decoder/Version.java Added : /trunk/src/com/google/zxing/qrcode/detector Added : /trunk/src/com/google/zxing/qrcode/detector/AlignmentPattern.java Added : /trunk/src/com/google/zxing/qrcode/detector/DefaultGridSampler.java Added : /trunk/src/com/google/zxing/qrcode/detector/Detector.java Added : /trunk/src/com/google/zxing/qrcode/detector/DetectorResult.java Added : /trunk/src/com/google/zxing/qrcode/detector/FinderPattern.java Added : /trunk/src/com/google/zxing/qrcode/detector/FinderPatternFinder.java Added : /trunk/src/com/google/zxing/qrcode/detector/FinderPatternInfo.java Added : /trunk/src/com/google/zxing/qrcode/detector/GridSampler.java Added : /trunk/src/com/google/zxing/qrcode/detector/JAIPerspectiveTransform.java Added : /trunk/test Added : /trunk/test/src Added : /trunk/test/src/com/google Added : /trunk/test/src/com/google/zxing Added : /trunk/test/src/com/google/zxing/qrcode Added : /trunk/test/src/com/google/zxing/qrcode/decoder Added : /trunk/test/src/com/google/zxing/qrcode/decoder/DataMaskTestCase.java 
0,3,[No log message] Deleted : /trunk/build.xml 
0,4,[No log message] Deleted : /trunk/test 
0,5,[No log message] Deleted : /trunk/src 
0,6,[No log message] Added : /trunk/core-ext/src Added : /trunk/core-ext/src/com Added : /trunk/core-ext/src/com/google Added : /trunk/core-ext/src/com/google/zxing/client/result Added : /trunk/core-ext/src/com/google/zxing/client/result/AddressBookDoCoMoResult.java Added : /trunk/core-ext/src/com/google/zxing/client/result/ParsedReaderResult.java Added : /trunk/core-ext/src/com/google/zxing/client/result/TextParsedResult.java Added : /trunk/core-ext/src/com/google/zxing/client/result/URIParsedResult.java Added : /trunk/core/build.xml Added : /trunk/core/src/com Added : /trunk/core/src/com/google/zxing Added : /trunk/core/src/com/google/zxing/BarcodeFormat.java Added : /trunk/core/src/com/google/zxing/DecodeHintType.java Added : /trunk/core/src/com/google/zxing/MonochromeBitmapSource.java Added : /trunk/core/src/com/google/zxing/MultiFormatReader.java Added : /trunk/core/src/com/google/zxing/ReaderException.java Added : /trunk/core/src/com/google/zxing/common Added : /trunk/core/src/com/google/zxing/common/BitArray.java Added : /trunk/core/src/com/google/zxing/common/Collections.java Added : /trunk/core/src/com/google/zxing/common/Comparator.java Added : /trunk/core/src/com/google/zxing/common/reedsolomon/GF256.java Added : /trunk/core/src/com/google/zxing/common/reedsolomon/GF256Poly.java Added : /trunk/core/src/com/google/zxing/common/reedsolomon/ReedSolomonDecoder.java Added : /trunk/core/src/com/google/zxing/common/reedsolomon/ReedSolomonException.java Added : /trunk/core/src/com/google/zxing/qrcode Added : /trunk/core/src/com/google/zxing/qrcode/QRCodeReader.java Added : /trunk/core/src/com/google/zxing/qrcode/decoder Added : /trunk/core/src/com/google/zxing/qrcode/decoder/BitSource.java Added : /trunk/core/src/com/google/zxing/qrcode/decoder/DataBlock.java Added : /trunk/core/src/com/google/zxing/qrcode/decoder/DataMask.java Added : /trunk/core/src/com/google/zxing/qrcode/decoder/DecodedBitStreamParser.java Added : /trunk/core/src/com/google/zxing/qrcode/decoder/ErrorCorrectionLevel.java Added : /trunk/core/src/com/google/zxing/qrcode/decoder/Mode.java Added : /trunk/core/src/com/google/zxing/qrcode/decoder/Version.java Added : /trunk/core/src/com/google/zxing/qrcode/detector/AlignmentPattern.java Added : /trunk/core/src/com/google/zxing/qrcode/detector/FinderPatternInfo.java Added : /trunk/core/test Added : /trunk/core/test/src/com Added : /trunk/core/test/src/com/google/zxing/qrcode Added : /trunk/core/test/src/com/google/zxing/qrcode/decoder Added : /trunk/core/test/src/com/google/zxing/qrcode/decoder/DataMaskTestCase.java Added : /trunk/javame/build.xml Added : /trunk/javame/src/com Added : /trunk/javame/src/com/google/zxing/client/j2me/LCDUIImageMonochromeBitmapSource.java Added : /trunk/javase Added : /trunk/javase/build.xml Added : /trunk/javase/src Added : /trunk/javase/src/com/google/zxing/client Added : /trunk/javase/src/com/google/zxing/client/j2se Added : /trunk/javase/src/com/google/zxing/client/j2se/BufferedImageMonochromeBitmapSource.java 
0,7,Fixed dumb bug that caused grid sampling to sample 2x too wide in the horizontaldirection. Modified : /trunk/core/src/com/google/zxing/qrcode/detector/DefaultGridSampler.java 
0,8,Initial revision Added : /trunk/javase/src/com/google/zxing/client/j2se/ImageConverter.java 
0,9,Added more javadoc Modified : /trunk/core/src/com/google/zxing/common/BitArray.java Modified : /trunk/core/src/com/google/zxing/common/BitMatrix.java Modified : /trunk/core/src/com/google/zxing/common/Collections.java Modified : /trunk/core/src/com/google/zxing/common/reedsolomon/GF256.java Modified : /trunk/core/src/com/google/zxing/common/reedsolomon/ReedSolomonDecoder.java 
0,10,More javadoc Modified : /trunk/core/src/com/google/zxing/BarcodeFormat.java Modified : /trunk/core/src/com/google/zxing/DecodeHintType.java Modified : /trunk/core/src/com/google/zxing/MultiFormatReader.java 
